tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994.0,,142,Drama,9.3,3116179
tt0068646,movie,The Godfather,The Godfather,0,1972.0,,175,"Crime,Drama",9.2,2172885
tt0252487,movie,The Chaos Class,Hababam Sinifi,0,1975.0,,85,Comedy,9.2,45272
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008.0,,152,"Action,Crime,Drama",9.1,3092193
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003.0,,201,"Adventure,Drama,Fantasy",9.0,2116844
tt0108052,movie,Schindler's List,Schindler's List,0,1993.0,,195,"Biography,Drama,History",9.0,1553410
tt0071562,movie,The Godfather Part II,The Godfather Part II,0,1974.0,,202,"Crime,Drama",9.0,1459804
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957.0,,96,"Crime,Drama",9.0,954380
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001.0,,178,"Adventure,Drama,Fantasy",8.9,2152143
tt5354160,movie,Mirror Game,Aynabaji,0,2016.0,,147,"Crime,Mystery,Thriller",8.9,30825
tt0253828,movie,Tosun Pasha,Tosun Pasa,0,1976.0,,90,"Comedy,History",8.9,25932
tt1375666,movie,Inception,Inception,0,2010.0,,148,"Action,Adventure,Sci-Fi",8.8,2746946
tt0137523,movie,Fight Club,Fight Club,0,1999.0,,139,"Crime,Drama,Thriller",8.8,2531052
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994.0,,142,"Drama,Romance",8.8,2433768
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994.0,,154,"Crime,Drama",8.8,2380851
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002.0,,179,"Adventure,Drama,Fantasy",8.8,1910143
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966.0,,178,"Adventure,Drama,Western",8.8,872095
tt0816692,movie,Interstellar,Interstellar,0,2014.0,,169,"Adventure,Drama,Sci-Fi",8.7,2425800
tt0133093,movie,The Matrix,The Matrix,0,1999.0,,136,"Action,Sci-Fi",8.7,2198296
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980.0,,124,"Action,Adventure,Fantasy",8.7,1471999
tt0099685,movie,Goodfellas,GoodFellas,0,1990.0,,145,"Biography,Crime,Drama",8.7,1356755
tt23849204,movie,12th Fail,12th Fail,0,2023.0,,147,"Biography,Drama",8.7,159040
tt7466810,movie,777 Charlie,777 Charlie,0,2022.0,,164,"Adventure,Comedy,Drama",8.7,45759
